MSSubClass_120,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotFrontage,LotArea,Street_Grvl,Street_Pave,Alley_Grvl,Alley_NA,Alley_Pave,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_AllPub,Utilities_NoSeWa,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,OverallQual_1,OverallQual_10,OverallQual_2,OverallQual_3,OverallQual_4,OverallQual_5,OverallQual_6,OverallQual_7,OverallQual_8,OverallQual_9,OverallCond_1,OverallCond_2,OverallCond_3,OverallCond_4,OverallCond_5,OverallCond_6,OverallCond_7,OverallCond_8,OverallCond_9,YearBuilt,YearRemodAdd,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_ClyTile,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_NA,MasVnrType_None,MasVnrType_Stone,MasVnrArea,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,ExterCond_Ex,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,ExterCond_TA,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_NA,BsmtQual_TA,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_NA,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_NA,BsmtExposure_No,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_NA,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinSF1,BsmtFinType2_ALQ,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_NA,BsmtFinType2_Rec,BsmtFinType2_Unf,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,HeatingQC_Ex,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,CentralAir_N,CentralAir_Y,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_NA,Electrical_SBrkr,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,TotRmsAbvGrd,Functional_Maj1,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,Fireplaces,FireplaceQu_Ex,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_NA,FireplaceQu_Po,FireplaceQu_TA,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_NA,GarageYrBlt,GarageFinish_Fin,GarageFinish_NA,GarageFinish_RFn,GarageFinish_Unf,GarageCars,GarageArea,GarageQual_Ex,GarageQual_Fa,GarageQual_Gd,GarageQual_NA,GarageQual_Po,GarageQual_TA,GarageCond_Ex,GarageCond_Fa,GarageCond_Gd,GarageCond_NA,GarageCond_Po,GarageCond_TA,PavedDrive_N,PavedDrive_P,PavedDrive_Y,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC_Ex,PoolQC_Fa,PoolQC_Gd,PoolQC_NA,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fence_NA,MiscFeature_Gar2,MiscFeature_NA,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,MiscVal,MoSold,YrSold,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SalePrice,HasGarage
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.2079477037658177,-0.20707075668205205,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0506337978673665,0.8783671227331232,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.509839688100742,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.5752277399119953,0,0,0,0,0,0,1,-0.2885539604701561,-0.9442670603932538,-0.45914521849712187,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-0.7931620228890668,1.1614536249333431,-0.12020053800860225,0.37020659097218966,1.1074306971230437,-0.24097846650905158,0.789470016700575,1.2271648985501926,0.16372301852733265,-0.2113811531878666,0,0,1,0,0.9118973170421563,0,0,0,0,0,0,1,-0.9509006699369584,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.9829795883583191,0,0,1,0,0.31161787088170967,0.35088009468698816,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-0.7519181992725845,0.21642900322035066,-0.3592018228542566,-0.11629943710230332,-0.27011580124313367,-0.06866821893757226,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-0.08765777630136364,-1.598563364586409,0.1387299542715876,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.559875761966359,false
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.40972383511978844,-0.09185489899357324,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.1566800256743223,-0.4294298246206893,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.5726372892119188,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1.1715906834588579,0,0,0,0,0,0,1,-0.2885539604701561,-0.6410083568513318,0.46630514046588606,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.25705235291419065,-0.7948908644380687,-0.12020053800860225,-0.4823466424740098,-0.819683507644112,3.947456784719702,0.789470016700575,-0.7613597983235935,0.16372301852733265,-0.2113811531878666,0,0,0,1,-0.31857410891121557,0,0,0,0,0,0,1,0.6002892497367391,0,0,0,0,0,1,0,1,0,0,0,0,0,0.06850767702145218,0,0,1,0,0.31161787088170967,-0.06071021076074022,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1.6256377804327584,-0.7042419476205181,-0.3592018228542566,-0.11629943710230332,-0.27011580124313367,-0.06866821893757226,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-0.08765777630136364,-0.4889425188037668,-0.6142281618491033,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.21269153639833685,false
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.08441339598869649,0.07345480986380937,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.9844149999271411,0.8299301987570561,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.3220630695873212,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.09287535910203278,0,0,0,0,0,0,1,-0.2885539604701561,-0.301539658856643,-0.3132614180694556,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-0.6276109882796863,1.188943243050974,-0.12020053800860225,0.5148361573603842,1.1074306971230437,-0.24097846650905158,0.789470016700575,1.2271648985501926,0.16372301852733265,-0.2113811531878666,0,0,1,0,-0.31857410891121557,0,0,0,0,0,0,1,0.6002892497367391,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.9020959525598752,0,0,1,0,0.31161787088170967,0.6315098484013485,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-0.7519181992725845,-0.0703373585169691,-0.3592018228542566,-0.11629943710230332,-0.27011580124313367,-0.06866821893757226,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-0.08765777630136364,0.990551942239756,0.1387299542715876,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.7337950206674982,false
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.4138382167276864,-0.09686428411046363,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.8629933115025556,-0.7200513684770921,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.5726372892119188,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.49910256280110293,0,0,0,0,0,0,1,-0.2885539604701561,-0.06164844560706293,-0.6870886566653505,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-0.5215548567330519,0.9369550769726892,-0.12020053800860225,0.38352773524478656,1.1074306971230437,-0.24097846650905158,-1.0256893917763372,-0.7613597983235935,0.16372301852733265,-0.2113811531878666,0,0,1,0,0.2966616040654703,0,0,0,0,0,0,1,0.6002892497367391,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.8616541346606532,0,0,0,1,1.6497416693737568,0.7905333755061527,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-0.7519181992725845,-0.1759881233675606,4.091121950018248,-0.11629943710230332,-0.27011580124313367,-0.06866821893757226,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-0.08765777630136364,-1.598563364586409,-1.3671862779697943,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.4372321508426609,false
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5744362454892834,0.37501979390061035,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.9513056009570283,0.7330563508049218,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.3603573131321183,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.4634096879969585,0,0,0,0,0,0,1,-0.2885539604701561,-0.1748046782719592,0.19961131780905864,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-0.04559563223108305,1.6173231253840583,-0.12020053800860225,1.2988806488332285,1.1074306971230437,-0.24097846650905158,0.789470016700575,1.2271648985501926,1.389546644424283,-0.2113811531878666,0,0,1,0,1.5271330300188422,0,0,0,0,0,0,1,0.6002892497367391,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.8616541346606532,0,0,1,0,1.6497416693737568,1.6979029125159175,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.7799299487254888,0.5635672305865799,-0.3592018228542566,-0.11629943710230332,-0.27011580124313367,-0.06866821893757226,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-0.08765777630136364,2.100172788022398,0.1387299542715876,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0143031687364503,false
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.6156143480816572,0.3604925770616283,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7195398081662391,0.4908717309245862,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.5726372892119188,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.6322330212804453,0,0,0,0,0,0,1,-0.2885539604701561,-1.1388957805768753,-0.595911281398059,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-0.948366117835361,0.5017027901101971,-0.12020053800860225,-0.2920445814369117,1.1074306971230437,-0.24097846650905158,-1.0256893917763372,1.2271648985501926,-2.287924233266568,-0.2113811531878666,0,0,0,1,-0.9338098218879014,0,0,0,0,0,0,1,-0.9509006699369584,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.5381195914668774,0,0,0,1,0.31161787088170967,0.03283304047737987,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-0.43278316843965253,-0.2514529554036974,-0.3592018228542566,10.798746166392297,-0.27011580124313367,-0.06866821893757226,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1.323282586252478,1.3604255575006365,0.8916880703922786,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.3841538970272577,false
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.20383332215791972,-0.043364051062074346,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0837431968374793,0.9752409706852575,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.4546112708909123,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2.028862414807473,0,0,0,0,0,0,1,-0.2885539604701561,-0.5663252432925002,1.432785318299175,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.374521836527509,-0.7948908644380687,-0.12020053800860225,0.33975826120625396,1.1074306971230437,-0.24097846650905158,0.789470016700575,-0.7613597983235935,0.16372301852733265,-0.2113811531878666,0,0,1,0,0.2966616040654703,0,0,0,0,0,0,1,0.6002892497367391,0,0,1,0,0,0,0,1,0,0,0,0,0,-1.0638632241567632,0,0,1,0,0.31161787088170967,0.7624704001347166,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1.2825676222873568,0.15605713759144124,-0.3592018228542566,-0.11629943710230332,-0.27011580124313367,-0.06866821893757226,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-0.08765777630136364,0.6206783269788753,-0.6142281618491033,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.528474827562358,false
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,-0.013508115765407669,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.05735182876398403,-0.5747405965488906,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7528447238239924,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.9106818956571054,0,1,0,0,0,0,0,-0.09018956517328883,-0.7949008332755907,0.1129928113051318,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-0.1438915590304027,1.456967019697877,-0.12020053800860225,1.0933544229131624,1.1074306971230437,-0.24097846650905158,0.789470016700575,1.2271648985501926,0.16372301852733265,-0.2113811531878666,0,0,0,1,0.2966616040654703,0,0,0,0,0,0,1,2.151479169410437,0,0,0,0,0,1,0,1,0,0,0,0,0,0.27071676651756205,0,0,1,0,0.31161787088170967,0.05154169072500389,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1.1230001068708906,2.3747231994538627,3.3712166338182845,-0.11629943710230332,-0.27011580124313367,-0.06866821893757226,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.6178124049755573,1.7302991727615173,0.8916880703922786,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4556787910722155,false
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.7844411400590501,-0.44050810312914385,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.3332429279807516,-1.6887898479984347,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.5726372892119188,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-0.9726849003236115,0,0,0,0,0,0,1,-0.2885539604701561,0.8707589115516823,-0.24031951785562247,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-0.36376402687098613,0.9277918709334789,-0.12020053800860225,0.49199991003593246,-0.819683507644112,-0.24097846650905158,0.789470016700575,-0.7613597983235935,-1.0621006073696178,4.327096547610454,0,0,0,1,0.9118973170421563,0,0,1,0,0,0,0,2.151479169410437,0,0,0,0,0,1,0,0,0,0,0,1,0,1.928831300385663,0,0,0,1,0.31161787088170967,-0.023292910265492187,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.03386437989848762,-0.7042419476205181,2.994902491259212,-0.11629943710230332,-0.27011580124313367,-0.06866821893757226,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-0.08765777630136364,-0.8588161340646475,0.1387299542715876,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.6246827672553364,false
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.8256192426514238,-0.3102640900899939,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.0683677362198496,-1.6887898479984347,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.5726372892119188,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.8931418090821978,0,0,0,0,0,0,1,-0.2885539604701561,-0.966898306926233,-0.15142157697001332,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-0.22149360650354982,-0.7948908644380687,-0.12020053800860225,-0.8344054553926413,1.1074306971230437,-0.24097846650905158,-1.0256893917763372,-0.7613597983235935,-1.0621006073696178,4.327096547610454,0,0,0,1,-0.9338098218879014,0,0,0,0,0,0,1,2.151479169410437,0,0,0,0,0,1,0,1,0,0,0,0,0,1.6052967571918872,0,0,1,0,-1.0265059276103374,-1.2533866640467715,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-0.7519181992725845,-0.6438700819916086,-0.3592018228542566,-0.11629943710230332,-0.27011580124313367,-0.06866821893757226,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-0.08765777630136364,-1.9684369798472896,0.1387299542715876,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.8652131210852793,false
